session,upper,lower
1047969464,870,999
1048189115,878,1082
1049273528,1022,1126
1049514117,953,1142
1051155866,726,925
1044385384,837,972
1044594870,786,980
1047977240,807,895
1048196054,708,880
1053718935,864,969
1053941483,934,1194
1052342277,751,900
1052533639,789,824
1053709239,952,1089
1053925378,872,1018
1055221968,844,933
1055403683,844,971
1055240613,1236,1335
1055415082,1145,1376
1064415305,952,1114
1064639378,1148,1257
1062755779,597,787
1063010385,782,942
1065437523,947,997
1065905010,809,959
1064400234,722,771
1064644573,986,1072
1067588044,1054,1089
1067781390,993,1114
1065449881,1096,1224
1065908084,998,1177
1071300149,958,1157
1081079981,868,919
1081429294,797,937
1081090969,1051,1110
1081431006,1047,1308
1093642839,1340,1389
1090803859,819,976
1091039376,830,926
1090800639,1103,1151
1091039902,1018,1154
1087720624,700,899
1087992708,684,796
1089296550,1121,1316
1096620314,722,899
1096935816,738,918
1092283837,1099,1232
1092466205,1067,1240
1104052767,840,932
1104297538,775,869
1098119201,1019,1163
1104058216,896,1041
1105543760,747,876
1105798776,677,860
1111013640,973,1114
1111216934,876,1093
1115077618,836,886
1115356973,793,893
1108334384,762,942
1108531612,739,789
1122903357,924,1026
1108335514,683,877
1108528422,747,836
1112302803,889,989
1112515874,851,1018
1115086689,1028,1071
1115368723,883,925
1121406444,853,972
1121607504,876,1025
1118327332,502,791
1118508667,741,831
1116941914,863,962
1117148442,877,996
1118324999,755,901
1118512505,650,837
1124285719,994,1135
1124507277,944,1120
1119946360,1117,1313
1120251466,1120,1316
1125713722,1038,1210
1125937457,1141,1188
1130113579,754,847
1130349290,771,942
1128520325,870,905
1128719842,857,987
1139846596,1140,1303
1140102579,1345,1389
1152632711,989,1082
1152811536,1131,1216
