session,upper,lower,upper_border_index,lower_border_index,first_channel_index,last_channel_index,start_index
1047969464,870,999,11,9,1,15,0
1048189115,878,1082,12,8,2,17,0
1049273528,1022,1126,16,14,6,21,0
1049514117,953,1142,18,14,8,22,0
1051155866,726,925,18,13,8,23,0
1044385384,837,972,14,11,4,19,0
1044594870,786,980,14,10,4,18,0
1047977240,807,895,17,15,7,21,0
1048196054,708,880,16,12,6,20,0
1053718935,864,969,14,12,4,18,0
1053941483,934,1194,13,8,3,18,0
1052342277,751,900,15,12,5,18,0
1052533639,789,824,17,16,7,22,0
1053709239,952,1089,16,13,6,21,0
1053925378,872,1018,15,12,5,20,0
1055221968,844,933,13,11,3,17,0
1055403683,844,971,13,10,3,18,0
1055240613,1236,1335,13,11,3,18,0
1055415082,1145,1376,15,10,5,20,0
1064415305,952,1114,15,12,5,20,0
1064639378,1148,1257,13,11,3,18,0
1062755779,597,787,14,10,4,14,0
1063010385,782,942,16,12,6,21,0
1065437523,947,997,13,12,3,18,0
1065905010,809,959,15,12,5,19,0
1064400234,722,771,16,15,6,18,0
1064644573,986,1072,14,12,4,19,0
1067588044,1054,1089,14,13,4,19,0
1067781390,993,1114,15,12,5,20,0
1065449881,1096,1224,15,12,5,20,0
1065908084,998,1177,15,11,5,20,0
1071300149,958,1157,16,12,6,21,0
1081079981,868,919,12,11,2,17,0
1081429294,797,937,13,10,3,18,0
1081090969,1051,1110,14,13,4,19,0
1081431006,1047,1308,15,10,5,19,0
1093642839,1340,1389,14,13,4,19,0
1090803859,819,976,13,10,3,17,0
1091039376,830,926,14,12,4,19,0
1090800639,1103,1151,12,11,2,17,0
1091039902,1018,1154,14,11,4,19,0
1087720624,700,899,12,9,2,12,0
1087992708,684,796,14,12,4,14,0
1089296550,1121,1316,13,10,3,17,0
1096620314,722,899,15,11,5,20,0
1096935816,738,918,15,11,5,20,0
1092283837,1099,1232,13,10,3,18,0
1092466205,1067,1240,14,10,4,19,0
1104052767,840,932,14,12,4,19,0
1104297538,775,869,14,12,4,18,0
1098119201,1019,1163,15,12,5,20,0
1104058216,896,1041,16,13,6,21,0
1105543760,747,876,14,11,4,19,0
1105798776,677,860,15,11,5,19,0
1111013640,973,1114,15,12,5,20,0
1111216934,876,1093,16,11,6,19,0
1115077618,836,886,17,16,7,22,0
1115356973,793,893,14,12,4,18,0
1108334384,762,942,16,12,6,21,0
1108531612,739,789,15,14,5,20,0
1122903357,924,1026,15,13,5,19,0
1108335514,683,877,16,12,6,18,0
1108528422,747,836,16,14,6,20,0
1112302803,889,989,14,12,4,18,0
1112515874,851,1018,12,9,2,17,0
1115086689,1028,1071,17,16,7,22,0
1115368723,883,925,16,15,6,21,0
1121406444,853,972,13,11,3,16,0
1121607504,876,1025,15,12,5,19,0
1118327332,502,791,17,11,7,17,0
1118508667,741,831,14,12,4,19,0
1116941914,863,962,14,12,4,18,0
1117148442,877,996,11,9,1,15,0
1118324999,755,901,14,11,4,19,0
1118512505,650,837,16,12,6,19,0
1124285719,994,1135,14,11,4,18,0
1124507277,944,1120,15,11,5,19,0
1119946360,1117,1313,16,12,6,21,0
1120251466,1120,1316,16,12,6,21,0
1125713722,1038,1210,14,11,4,15,0
1125937457,1141,1188,14,13,4,19,0
1130113579,754,847,15,13,5,18,0
1130349290,771,942,15,11,5,19,0
1128520325,870,905,17,16,7,20,0
1128719842,857,987,15,12,5,19,0
1139846596,1140,1303,15,12,5,20,0
1140102579,1345,1389,13,12,3,18,0
1152632711,989,1082,18,16,8,20,0
1152811536,1131,1216,17,15,7,22,0
