,ecephys_session_id,channel_ids
0,1044385384,"[1049370576 1049370580 1049370584 1049370588 1049370592 1049370596
 1049370600 1049370604 1049370608 1049370612 1049370616 1049370620
 1049370624 1049370630 1049370634 1049370638 1049370642 1049370647
 1049370651 1049370655]"
1,1044594870,"[1053041917 1053041921 1053041925 1053041929 1053041933 1053041937
 1053041941 1053041945 1053041949 1053041953 1053041957 1053041961
 1053041965 1053041970 1053041974 1053041978 1053041982 1053041986
 1053041990]"
2,1047977240,"[1055683340 1055683344 1055683348 1055683352 1055683356 1055683360
 1055683364 1055683368 1055683372 1055683376 1055683380 1055683384
 1055683388 1055683393 1055683397 1055683401 1055683405 1055683409
 1055683413 1055683418 1055683422 1055683426]"
3,1048189115,"[1053055093 1053055097 1053055101 1053055105 1053055109 1053055113
 1053055117 1053055121 1053055126 1053055131 1053055135 1053055139
 1053055143 1053055147 1053055151 1053055155 1053055159 1053055163]"
4,1048196054,"[1054308265 1054308269 1054308273 1054308277 1054308281 1054308285
 1054308289 1054308293 1054308297 1054308301 1054308306 1054308310
 1054308314 1054308318 1054308322 1054308326 1054308330 1054308334
 1054308338 1054308342 1054308347]"
5,1049273528,"[1158574415 1158574420 1158574424 1158574428 1158574432 1158574436
 1158574440 1158574444 1158574448 1158574452 1158574456 1158574460
 1158574464 1158574468 1158574472 1158574476 1158574480 1158574484
 1158574488 1158574492 1158574496 1158574500]"
6,1049514117,"[1054300896 1054300900 1054300904 1054300909 1054300913 1054300917
 1054300921 1054300925 1054300929 1054300933 1054300937 1054300941
 1054300945 1054300949 1054300954 1054300958 1054300962 1054300966
 1054300970 1054300974 1054300978 1054300982 1054300986]"
7,1051155866,"[1055688528 1055688532 1055688537 1055688541 1055688545 1055688549
 1055688553 1055688557 1055688561 1055688566 1055688570 1055688574
 1055688578 1055688582 1055688586 1055688590 1055688594 1055688598
 1055688602 1055688606 1055688610 1055688614 1055688618 1055688622]"
8,1052342277,"[1160407500 1160407504 1160407508 1160407512 1160407516 1160407520
 1160407524 1160407528 1160407532 1160407536 1160407541 1160407546
 1160407551 1160407555 1160407559 1160407563 1160407567 1160407571
 1160407575]"
9,1052533639,"[1054292317 1054292321 1054292325 1054292329 1054292333 1054292337
 1054292341 1054292345 1054292349 1054292353 1054292357 1054292361
 1054292365 1054292369 1054292373 1054292377 1054292381 1054292385
 1054292389 1054292393 1054292397 1054292401 1054292405]"
10,1053709239,"[1163263205 1163263209 1163263213 1163263217 1163263221 1163263225
 1163263230 1163263234 1163263238 1163263242 1163263247 1163263251
 1163263255 1163263259 1163263263 1163263267 1163263271 1163263275
 1163263280 1163263285 1163263290 1163263294 1163263298 1163263302]"
11,1053718935,"[1061828863 1061828867 1061828871 1061828876 1061828881 1061828885
 1061828889 1061828893 1061828898 1061828902 1061828906 1061828910
 1061828914 1061828918 1061828922 1061828926 1061828930 1061828934
 1061828938]"
12,1053925378,"[1060217293 1060217297 1060217301 1060217305 1060217309 1060217313
 1060217317 1060217321 1060217325 1060217329 1060217333 1060217337
 1060217341 1060217345 1060217349 1060217353 1060217357 1060217361
 1060217366 1060217370 1060217374]"
13,1053941483,"[1061852450 1061852454 1061852458 1061852462 1061852466 1061852470
 1061852475 1061852479 1061852483 1061852487 1061852491 1061852495
 1061852500 1061852504 1061852508 1061852512 1061852516 1061852520
 1061852524 1061852528]"
14,1055221968,"[1160409207 1160409211 1160409215 1160409219 1160409223 1160409227
 1160409231 1160409235 1160409239 1160409243 1160409247 1160409251
 1160409255 1160409259 1160409263 1160409267 1160409271 1160409276]"
15,1055240613,"[1056593187 1056593191 1056593195 1056593199 1056593203 1056593207
 1056593211 1056593215 1056593219 1056593223 1056593227 1056593231
 1056593235 1056593239 1056593243 1056593247 1056593251 1056593255
 1056593259 1056593263 1056593267]"
16,1055403683,"[1145245556 1145245560 1145245564 1145245568 1145245572 1145245576
 1145245580 1145245584 1145245588 1145245592 1145245596 1145245600
 1145245604 1145245608 1145245612 1145245618 1145245622 1145245626
 1145245630 1145245634]"
17,1055415082,"[1056598424 1056598428 1056598432 1056598436 1056598440 1056598444
 1056598448 1056598454 1056598459 1056598463 1056598467 1056598471
 1056598475 1056598479 1056598483 1056598487 1056598491 1056598495
 1056598499 1056598503 1056598507 1056598511]"
18,1062755779,"[1066258972 1066258976 1066258980 1066258984 1066258988 1066258992
 1066258996 1066259000 1066259004 1066259008 1066259012 1066259016
 1066259021 1066259025 1066259029]"
19,1063010385,"[1066246695 1066246699 1066246703 1066246707 1066246711 1066246715
 1066246719 1066246723 1066246727 1066246731 1066246735 1066246739
 1066246743 1066246747 1066246752 1066246756 1066246760 1066246764
 1066246768 1066246772 1066246776 1066246780 1066246784]"
20,1064400234,"[1066240848 1066240853 1066240857 1066240861 1066240866 1066240870
 1066240874 1066240878 1066240882 1066240886 1066240890 1066240894
 1066240898 1066240902 1066240906 1066240910 1066240914 1066240918
 1066240922]"
21,1064415305,"[1066208058 1066208062 1066208066 1066208070 1066208074 1066208079
 1066208083 1066208087 1066208091 1066208095 1066208099 1066208103
 1066208107 1066208111 1066208115 1066208119 1066208123 1066208127
 1066208131 1066208135 1066208139]"
22,1064639378,"[1066213212 1066213216 1066213220 1066213224 1066213228 1066213232
 1066213236 1066213240 1066213245 1066213250 1066213254 1066213258
 1066213262 1066213266 1066213271 1066213275 1066213279 1066213283
 1066213287 1066213291]"
23,1064644573,"[1066254118 1066254122 1066254126 1066254130 1066254134 1066254138
 1066254142 1066254146 1066254150 1066254154 1066254158 1066254163
 1066254167 1066254171 1066254176 1066254180 1066254184 1066254188
 1066254192 1066254196 1066254200]"
24,1065437523,"[1068228565 1068228569 1068228573 1068228577 1068228581 1068228586
 1068228590 1068228594 1068228598 1068228602 1068228606 1068228610
 1068228614 1068228618 1068228622 1068228626 1068228630 1068228635
 1068228639 1068228643 1068228647 1068228651]"
25,1065449881,"[1068207610 1068207614 1068207618 1068207622 1068207626 1068207630
 1068207634 1068207638 1068207642 1068207646 1068207651 1068207656
 1068207660 1068207665 1068207669 1068207673 1068207677 1068207681
 1068207685 1068207689 1068207693 1068207697]"
26,1065905010,"[1068221877 1068221881 1068221885 1068221889 1068221893 1068221897
 1068221901 1068221905 1068221909 1068221913 1068221917 1068221921
 1068221925 1068221930 1068221935 1068221940 1068221944 1068221948
 1068221952 1068221956]"
27,1065908084,"[1068202223 1068202227 1068202231 1068202235 1068202239 1068202243
 1068202247 1068202251 1068202256 1068202260 1068202264 1068202268
 1068202272 1068202276 1068202280 1068202284 1068202288 1068202292
 1068202296 1068202300 1068202304]"
28,1067588044,"[1076895300 1076895305 1076895309 1076895313 1076895318 1076895322
 1076895326 1076895330 1076895334 1076895338 1076895342 1076895346
 1076895350 1076895354 1076895358 1076895362 1076895366 1076895370
 1076895374 1076895378 1076895382 1076895386]"
29,1067781390,"[1076915104 1076915112 1076915120 1076915127 1076915135 1076915142
 1076915149 1076915155 1076915159 1076915163 1076915168 1076915172
 1076915176 1076915181 1076915187 1076915195 1076915203 1076915210
 1076915217 1076915225 1076915232 1076915240]"
30,1069461581,"[1076869100 1076869104 1076869108 1076869112 1076869116 1076869121
 1076869125 1076869130 1076869134 1076869138 1076869143 1076869147
 1076869151 1076869155 1076869159 1076869163 1076869167 1076869171
 1076869175 1076869180 1076869184 1076869188]"
31,1071300149,"[1076831654 1076831658 1076831662 1076831666 1076831670 1076831674
 1076831679 1076831684 1076831688 1076831692 1076831696 1076831700
 1076831704 1076831708 1076831712 1076831716 1076831720 1076831724
 1076831728 1076831732 1076831736 1076831740]"
32,1081079981,"[1082872223 1082872231 1082872239 1082872248 1082872255 1082872263
 1082872271 1082872279 1082872287 1082872295 1082872303 1082872310
 1082872318 1082872326 1082872334 1082872342 1082872351 1082872358
 1082872366 1082872374]"
33,1081090969,"[1084090224 1084090229 1084090233 1084090238 1084090243 1084090247
 1084090252 1084090257 1084090262 1084090266 1084090270 1084090275
 1084090279 1084090284 1084090289 1084090293 1084090298 1084090302
 1084090307 1084090312]"
34,1081429294,"[1082887009 1082887013 1082887017 1082887021 1082887025 1082887029
 1082887033 1082887037 1082887041 1082887046 1082887050 1082887054
 1082887058 1082887062 1082887066 1082887071 1082887075 1082887079
 1082887083]"
35,1081431006,"[1084102992 1084102996 1084103000 1084103004 1084103008 1084103012
 1084103016 1084103020 1084103025 1084103029 1084103034 1084103038
 1084103042 1084103046 1084103050 1084103054 1084103058 1084103062
 1084103066 1084103070]"
36,1087720624,"[1089433725 1089433729 1089433733 1089433738 1089433742 1089433746
 1089433750 1089433755 1089433759 1089433763 1089433767 1089433771
 1089433775]"
37,1087992708,"[1089439899 1089439903 1089439907 1089439911 1089439915 1089439919
 1089439924 1089439928 1089439932 1089439936 1089439940 1089439944
 1089439948 1089439952 1089439956]"
38,1089296550,"[1090900500 1090900504 1090900508 1090900512 1090900516 1090900520
 1090900525 1090900529 1090900533 1090900537 1090900541 1090900545
 1090900549 1090900553 1090900557 1090900561 1090900565 1090900569]"
39,1090800639,"[1098214184 1098214188 1098214193 1098214197 1098214201 1098214205
 1098214209 1098214214 1098214218 1098214222 1098214226 1098214230
 1098214234 1098214238 1098214242 1098214246 1098214250 1098214254
 1098214258 1098214262]"
40,1090803859,"[1097819209 1097819213 1097819217 1097819221 1097819225 1097819229
 1097819233 1097819237 1097819241 1097819245 1097819250 1097819255
 1097819259 1097819263 1097819267 1097819271 1097819275 1097819279]"
41,1091039376,"[1097814368 1097814372 1097814376 1097814380 1097814384 1097814388
 1097814392 1097814396 1097814400 1097814404 1097814408 1097814412
 1097814416 1097814420 1097814424 1097814428 1097814432 1097814436
 1097814440 1097814444]"
42,1091039902,"[1098219717 1098219723 1098219729 1098219735 1098219741 1098219747
 1098219753 1098219759 1098219765 1098219770 1098219776 1098219781
 1098219787 1098219793 1098219799 1098219804 1098219810 1098219816
 1098219821 1098219826 1098219832]"
43,1092283837,"[1093305272 1093305276 1093305280 1093305284 1093305288 1093305293
 1093305297 1093305301 1093305305 1093305309 1093305313 1093305317
 1093305321 1093305325 1093305329 1093305333 1093305337 1093305341
 1093305345 1093305349 1093305353 1093305357]"
44,1092466205,"[1093299869 1093299873 1093299877 1093299881 1093299885 1093299889
 1093299893 1093299897 1093299901 1093299905 1093299909 1093299913
 1093299917 1093299921 1093299925 1093299929 1093299933 1093299937
 1093299941 1093299945 1093299949]"
45,1093642839,"[1094995916 1094995920 1094995924 1094995928 1094995932 1094995936
 1094995940 1094995944 1094995949 1094995953 1094995957 1094995961
 1094995965 1094995969 1094995973 1094995977 1094995981 1094995985
 1094995989 1094995993 1094995998 1094996002 1094996006]"
46,1096620314,"[1100929485 1100929489 1100929494 1100929498 1100929502 1100929506
 1100929510 1100929514 1100929519 1100929523 1100929527 1100929532
 1100929536 1100929540 1100929544 1100929548 1100929552 1100929556
 1100929560 1100929564 1100929568]"
47,1096935816,"[1100938320 1100938324 1100938328 1100938332 1100938336 1100938340
 1100938344 1100938348 1100938352 1100938356 1100938360 1100938364
 1100938368 1100938372 1100938376 1100938380 1100938384 1100938389
 1100938393 1100938397 1100938401]"
48,1098119201,"[1100922759 1100922763 1100922767 1100922771 1100922775 1100922779
 1100922783 1100922787 1100922791 1100922795 1100922799 1100922804
 1100922808 1100922812 1100922817 1100922821 1100922825 1100922829
 1100922833 1100922837 1100922841]"
49,1099598937,"[1100908340 1100908344 1100908349 1100908353 1100908358 1100908362
 1100908366 1100908370 1100908374 1100908378 1100908382 1100908386
 1100908390 1100908394 1100908399 1100908403 1100908407 1100908411
 1100908415 1100908419 1100908423]"
50,1104052767,"[1153923969 1153923973 1153923977 1153923981 1153923985 1153923989
 1153923993 1153923997 1153924001 1153924005 1153924009 1153924013
 1153924017 1153924021 1153924025 1153924029 1153924033 1153924037
 1153924041 1153924045]"
51,1104058216,"[1109782415 1109782419 1109782423 1109782427 1109782431 1109782435
 1109782439 1109782443 1109782447 1109782451 1109782456 1109782460
 1109782464 1109782468 1109782472 1109782477 1109782481 1109782485
 1109782489 1109782493 1109782497 1109782501 1109782505]"
52,1104289498,"[1106873637 1106873641 1106873645 1106873649 1106873653 1106873658
 1106873662 1106873666 1106873670 1106873674 1106873678 1106873682
 1106873686 1106873690 1106873694 1106873698 1106873702 1106873706
 1106873710 1106873714 1106873718 1106873723]"
53,1104297538,"[1106867368 1106867372 1106867377 1106867381 1106867385 1106867389
 1106867393 1106867397 1106867401 1106867405 1106867409 1106867413
 1106867417 1106867421 1106867425 1106867429 1106867434 1106867438
 1106867442]"
54,1105543760,"[1106862355 1106862359 1106862363 1106862367 1106862371 1106862375
 1106862379 1106862383 1106862387 1106862392 1106862397 1106862401
 1106862405 1106862409 1106862413 1106862417 1106862421 1106862426
 1106862430 1106862434 1106862438 1106862442]"
55,1105798776,"[1153672862 1153672866 1153672871 1153672875 1153672879 1153672883
 1153672888 1153672892 1153672896 1153672900 1153672904 1153672908
 1153672912 1153672916 1153672920 1153672924 1153672928 1153672932
 1153672936 1153672940]"
56,1108334384,"[1153694701 1153694705 1153694710 1153694714 1153694718 1153694722
 1153694726 1153694730 1153694734 1153694738 1153694742 1153694746
 1153694750 1153694754 1153694758 1153694762 1153694766 1153694770
 1153694775 1153694779 1153694783 1153694787]"
57,1108335514,"[1113602333 1113602337 1113602341 1113602345 1113602349 1113602353
 1113602357 1113602361 1113602365 1113602369 1113602374 1113602379
 1113602383 1113602387 1113602391 1113602395 1113602399 1113602403
 1113602407]"
58,1108528422,"[1113607992 1113608000 1113608005 1113608013 1113608021 1113608028
 1113608036 1113608044 1113608052 1113608059 1113608067 1113608074
 1113608082 1113608090 1113608097 1113608105 1113608112 1113608122
 1113608130 1113608137 1113608145]"
59,1108531612,"[1143974067 1143974073 1143974079 1143974085 1143974092 1143974099
 1143974105 1143974112 1143974118 1143974124 1143974130 1143974137
 1143974142 1143974149 1143974155 1143974161 1143974167 1143974173
 1143974179 1143974186 1143974192]"
60,1109889304,"[1153677845 1153677850 1153677854 1153677858 1153677862 1153677866
 1153677871 1153677875 1153677879 1153677883 1153677887 1153677892
 1153677896 1153677900 1153677904 1153677908 1153677912 1153677916
 1153677920 1153677924 1153677928 1153677932 1153677936]"
61,1111013640,"[1143987814 1143987819 1143987824 1143987830 1143987837 1143987843
 1143987849 1143987855 1143987861 1143987866 1143987873 1143987879
 1143987885 1143987892 1143987898 1143987903 1143987909 1143987915
 1143987921 1143987927 1143987933]"
62,1111216934,"[1113591577 1113591581 1113591585 1113591589 1113591593 1113591597
 1113591601 1113591605 1113591609 1113591613 1113591617 1113591621
 1113591625 1113591629 1113591633 1113591638 1113591642 1113591646
 1113591650 1113591654]"
63,1112302803,"[1143984012 1143984016 1143984020 1143984024 1143984028 1143984032
 1143984036 1143984040 1143984044 1143984048 1143984052 1143984056
 1143984060 1143984065 1143984069 1143984073 1143984077 1143984081
 1143984085]"
64,1112515874,"[1126272478 1126272482 1126272486 1126272490 1126272494 1126272498
 1126272502 1126272506 1126272510 1126272514 1126272518 1126272522
 1126272526 1126272530 1126272534 1126272538 1126272542 1126272546]"
65,1115077618,"[1153667572 1153667576 1153667580 1153667584 1153667590 1153667594
 1153667598 1153667602 1153667606 1153667611 1153667615 1153667619
 1153667623 1153667627 1153667631 1153667635 1153667639 1153667643
 1153667647 1153667651 1153667655 1153667659 1153667663]"
66,1115086689,"[1144247626 1144247630 1144247634 1144247638 1144247642 1144247646
 1144247650 1144247654 1144247658 1144247662 1144247666 1144247670
 1144247674 1144247678 1144247682 1144247687 1144247691 1144247695
 1144247699 1144247703 1144247707 1144247711 1144247716 1144247721]"
67,1115356973,"[1126261794 1126261801 1126261806 1126261811 1126261817 1126261823
 1126261829 1126261835 1126261842 1126261848 1126261855 1126261861
 1126261868 1126261874 1126261880 1126261886 1126261892 1126261898
 1126261904]"
